(3,110,1.01659786730598) 
(3,111,0.14949968636852692) 
(3,78,1.6444965500537962) 
(3,81,0.5979987454741077) 
(3,66,2.242495295527904) 
(3,64,0.852148212300607) 
(3,61,0.6727485886583713) 
(3,108,0.14949968636852692) 
(3,107,0.14949968636852692) 
(3,106,0.14949968636852692) 
(3,102,0.4484990591055808) 
(1,105,1.1959974909482156) 
(1,96,0.14949968636852692) 
(0,110,0.7474984318426346) 
(0,78,8.969981182111615) 
(0,81,0.7474984318426346) 
(0,66,1.4949968636852693) 
(0,108,0.4484990591055808) 
(0,107,1.4949968636852693) 
(0,106,0.29899937273705385) 
(0,104,0.7474984318426346) 
(0,102,1.4949968636852693) 
(0,95,0.3737492159213173) 
(0,91,2.6162445114492217) 
(5,110,0.2242495295527904) 
(5,78,0.2242495295527904) 
(5,81,0.2242495295527904) 
(5,59,2.5414946682649577) 
(5,57,0.14949968636852692) 
(5,64,0.14949968636852692) 
(5,95,0.29899937273705385) 
(4,111,0.14949968636852692) 
(4,65,1.1212476477639524) 
(4,61,1.360447145953595) 
(9,64,0.2690994354633449) 
(9,95,3.468392723749827) 
(8,77,1.3454971773167428) 
(8,66,3.2142432569233286) 
(8,65,1.0464978045796884) 
(8,60,0.7474984318426345) 
(35,105,0.7026485259320772) 
(36,66,0.2242495295527904) 
(36,108,3.961741688765964) 
(36,107,0.07474984318426267) 
(36,106,0.2989993727370531) 
(36,95,2.39199498189643) 
(39,110,1.0763977418533959) 
(39,80,0.4484990591055808) 
(39,56,0.3737492159213173) 
(39,61,0.14949968636852692) 
(39,109,1.898646016880293) 
(39,102,0.7474984318426346) 
(39,92,4.82883986970342) 
(39,91,1.3454971773167455) 
(40,77,0.029899937273705213) 
(40,81,3.587992472844646) 
(40,65,0.5979987454741077) 
(40,105,0.9418480241217191) 
(40,91,0.5232489022898399) 
(22,79,1.7939962364223239) 
(22,66,0.6727485886583713) 
(22,59,1.121247647763952) 
(22,57,0.5979987454741077) 
(22,56,6.727485886583711) 
(22,61,0.5979987454741077) 
(22,106,0.14949968636852692) 
(22,105,0.29899937273705385) 
(22,104,0.4484990591055808) 
(22,102,2.0182457659751134) 
(23,57,0.29899937273705385) 
(23,56,8.969981182111614) 
(24,81,19.883458287014083) 
(24,95,0.4484990591055808) 
(25,110,1.4949968636852693) 
(25,77,3.1394934137390655) 
(25,80,21.52795483706788) 
(25,59,1.4949968636852693) 
(25,56,0.7474984318426346) 
(25,104,7.325484632057819) 
(25,102,8.969981182111615) 
(21,65,1.1212476477639515) 
(21,107,0.9717479613954261) 
(21,96,0.8222482750268981) 
(21,95,2.242495295527904) 
(10,110,0.7474984318426346) 
(10,111,2.092995609159377) 
(10,78,0.9717479613954245) 
(10,77,1.913595985517144) 
(10,81,1.9434959227908502) 
(10,59,0.14949968636852692) 
(10,56,0.8222482750268981) 
(10,108,0.14949968636852692) 
(10,107,0.14949968636852692) 
(10,106,0.14949968636852692) 
(10,92,0.1793996236422323) 
(55,80,0.2242495295527904) 
(55,66,2.765744197817748) 
(55,59,0.14949968636852692) 
(55,56,0.14949968636852692) 
(55,60,0.14949968636852692) 
(49,56,0.2242495295527904) 
(49,104,0.14949968636852692) 
(49,102,0.14949968636852692) 
(49,95,1.1212476477639521) 
(46,110,2.5414946682649586) 
(46,111,0.2242495295527906) 
(46,78,1.3454971773167426) 
(46,81,8.22248275026898) 
(46,59,0.5979987454741077) 
(46,56,0.7474984318426346) 
(46,108,0.2242495295527904) 
(46,107,0.14949968636852692) 
(46,106,0.14949968636852692) 
(46,104,0.2242495295527904) 
(46,95,0.7474984318426346) 
(51,78,0.9717479613954251) 
(51,81,1.1959974909482154) 
(51,66,0.2242495295527904) 
(51,59,0.5979987454741077) 
(51,56,0.8969981182111616) 
(51,61,0.29899937273705385) 
(51,106,0.2242495295527911) 
(52,78,0.2242495295527904) 
(52,81,0.7474984318426346) 
(52,66,0.2242495295527904) 
(52,59,0.5232489022898442) 
(52,56,0.7474984318426346) 
(52,61,0.2242495295527904) 
(52,104,0.14949968636852692) 
(52,92,0.8222482750268977) 
(53,110,1.0464978045796884) 
(53,78,0.14949968636852692) 
(50,78,0.2242495295527905) 
(50,81,0.4484990591055808) 
(50,66,0.14949968636852692) 
(50,59,0.14949968636852692) 
(50,56,0.6727485886583713) 
(50,60,0.2242495295527904) 
(50,104,0.2989993727370528) 
(50,102,0.29899937273705385) 
(50,91,0.5232489022898451) 

