(3,110,14.297583512387913) 
(3,111,4.76586117079597) 
(3,78,52.42447287875568) 
(3,77,176.08384705380996) 
(3,81,19.06344468318388) 
(3,66,4.76586117079597) 
(3,61,21.446375268581868) 
(3,108,4.76586117079597) 
(3,107,4.76586117079597) 
(3,106,4.76586117079597) 
(3,102,14.297583512387913) 
(3,92,37.193262802023014) 
(1,111,39.12462552816441) 
(1,66,5.853557666975863) 
(1,64,16.276433840312762) 
(1,106,28.395019133046617) 
(1,102,23.485647666143787) 
(1,95,36.82409581847946) 
(0,110,23.829305853979854) 
(0,78,495.31721648305285) 
(0,81,76.17069414602014) 
(0,66,47.65861170795971) 
(0,57,57.092140988126175) 
(0,109,2.4281651295854374) 
(0,108,14.297583512387913) 
(0,107,152.34138829204028) 
(0,106,9.53172234159194) 
(0,104,76.17069414602014) 
(0,102,47.65861170795971) 
(0,96,4.76586117079597) 
(0,95,38.08534707301007) 
(0,92,195.75906530581113) 
(5,110,7.1487917561939565) 
(5,78,7.1487917561939565) 
(5,81,7.1487917561939565) 
(5,59,81.0196399035315) 
(5,57,4.76586117079597) 
(5,64,4.76586117079597) 
(5,60,16.494706459393445) 
(5,95,9.531722341591943) 
(4,111,4.76586117079597) 
(4,64,25.06419809422156) 
(4,61,10.275680429275084) 
(9,95,68.55362473141813) 
(8,77,74.04675183489132) 
(8,60,41.155586581248784) 
(35,92,30.46827765840806) 
(36,111,0.9320205168880875) 
(36,81,164.32014999320415) 
(36,66,7.1487917561939565) 
(36,65,31.631419928580797) 
(36,95,178.43119075892915) 
(39,110,200.79682637493443) 
(39,80,14.297583512387913) 
(39,59,161.81344551946088) 
(39,56,11.914652926989927) 
(39,61,4.76586117079597) 
(39,108,102.74169178831187) 
(39,105,208.56872969636458) 
(39,102,23.829305853979854) 
(39,96,80.58912422418543) 
(39,92,132.1661596234071) 
(39,91,31.631419928580797) 
(40,57,61.52567954100154) 
(40,64,19.06344468318388) 
(22,79,290.5475779010991) 
(22,80,28.640482786223533) 
(22,66,21.446375268581868) 
(22,59,35.743958780969784) 
(22,57,19.06344468318388) 
(22,56,345.31721908287784) 
(22,61,19.06344468318388) 
(22,106,4.76586117079597) 
(22,105,9.53172234159194) 
(22,104,14.297583512387913) 
(22,102,64.33912580574561) 
(23,57,9.53172234159194) 
(23,56,495.3172164830528) 
(24,81,1251.004532663738) 
(24,104,15.604227130937318) 
(24,95,14.297583512387913) 
(25,110,88.84441710183637) 
(25,77,133.9463867511263) 
(25,80,461.0536242114535) 
(25,59,47.65861170795971) 
(25,56,23.829305853979854) 
(25,104,304.68277658408056) 
(25,102,495.31721648305285) 
(25,92,131.27644064318798) 
(21,80,22.160120826547104) 
(21,107,114.78096630906407) 
(21,95,48.836857036540636) 
(21,92,9.539272310901076) 
(10,110,76.17069414602014) 
(10,111,45.27568112256172) 
(10,78,28.595167024775826) 
(10,77,250.46608293094647) 
(10,81,61.95619522034762) 
(10,59,4.76586117079597) 
(10,56,26.21223643937784) 
(10,108,4.76586117079597) 
(10,107,4.76586117079597) 
(10,106,4.76586117079597) 
(10,92,5.719033404955165) 
(55,80,7.1487917561939565) 
(55,66,76.25377873273553) 
(55,59,4.76586117079597) 
(55,56,4.76586117079597) 
(55,64,47.68126352242534) 
(55,60,4.76586117079597) 
(55,108,4.361781779931126) 
(49,56,7.1487917561939565) 
(49,61,4.538517651947372) 
(49,109,29.203254798995363) 
(49,104,4.76586117079597) 
(49,102,15.23413882920403) 
(49,95,93.89040175528409) 
(46,111,123.90861066802961) 
(46,78,3.145767626082556) 
(46,81,606.7334707518163) 
(46,66,131.6313316917932) 
(46,59,19.06344468318388) 
(46,56,23.829305853979854) 
(46,108,7.1487917561939565) 
(46,107,4.76586117079597) 
(46,106,4.76586117079597) 
(46,104,7.1487917561939565) 
(46,95,23.829305853979854) 
(51,81,38.12688936636776) 
(51,66,7.1487917561939565) 
(51,59,19.06344468318388) 
(51,57,81.74470716568409) 
(51,56,28.595167024775826) 
(51,61,9.53172234159194) 
(51,104,21.990178120030578) 
(52,78,7.1487917561939565) 
(52,81,23.829305853979854) 
(52,66,7.1487917561939565) 
(52,59,16.6805140977859) 
(52,56,23.829305853979854) 
(52,61,22.851208243806045) 
(52,104,15.23413882920403) 
(52,92,42.78700373668294) 
(53,110,4.76586117079597) 
(53,78,4.76586117079597) 
(53,95,33.24773333232017) 
(50,110,75.33609309621215) 
(50,80,88.06646721006953) 
(50,81,14.297583512387913) 
(50,66,4.76586117079597) 
(50,59,4.76586117079597) 
(50,56,21.446375268581868) 
(50,60,7.1487917561939565) 
(50,104,56.06118258686297) 
(50,102,9.53172234159194) 

