(3,110,21.054740763246404) 
(3,111,3.2391908866533075) 
(3,78,35.63109975318639) 
(3,81,12.95676354661323) 
(3,66,16.760809113346692) 
(3,64,11.337168103286578) 
(3,61,14.576358989939887) 
(3,108,3.2391908866533075) 
(3,107,3.239190886653308) 
(3,106,3.239190886653308) 
(3,102,9.717572659959924) 
(3,95,23.729076969819744) 
(1,105,61.544626846412854) 
(1,96,3.2391908866533075) 
(0,110,16.19595443326654) 
(0,78,194.35145319919846) 
(0,81,16.19595443326654) 
(0,66,32.39190886653307) 
(0,108,9.717572659959924) 
(0,107,32.39190886653308) 
(0,106,6.478381773306616) 
(0,105,5.856005543927836) 
(0,104,67.02578940577158) 
(0,102,32.39190886653308) 
(0,95,8.09797721663327) 
(5,110,4.858786329979962) 
(5,78,4.858786329979962) 
(5,81,4.858786329979962) 
(5,59,55.06624507310623) 
(5,57,3.239190886653308) 
(5,64,3.239190886653308) 
(5,95,6.478381773306616) 
(4,111,3.239190886653308) 
(4,65,4.858786329979965) 
(4,61,29.476637068545102) 
(9,66,31.82705418645292) 
(9,95,16.76080911334667) 
(8,77,7.732566379342689) 
(8,66,69.64260406304618) 
(8,65,22.674336206573155) 
(8,60,16.195954433266543) 
(35,105,11.195245809795704) 
(36,110,43.72907696981971) 
(36,66,4.858786329979962) 
(36,108,66.40341317639282) 
(36,106,6.478381773306605) 
(36,95,51.82705418645292) 
(39,80,9.717572659959924) 
(39,56,8.09797721663327) 
(39,61,3.2391908866533075) 
(39,102,16.19595443326654) 
(39,92,68.99476588571547) 
(39,91,33.521618226693384) 
(40,81,10.714791873907814) 
(40,64,12.95676354661323) 
(40,95,68.51289470288576) 
(22,79,38.87029063983971) 
(22,66,14.576358989939887) 
(22,59,24.293931649899807) 
(22,57,12.956763546613232) 
(22,56,145.76358989939885) 
(22,61,12.95676354661323) 
(22,106,3.2391908866533075) 
(22,105,6.478381773306615) 
(22,104,9.717572659959924) 
(22,102,43.72907696981965) 
(23,57,6.478381773306616) 
(23,56,194.35145319919846) 
(24,77,68.02300861971946) 
(24,81,362.7893793051704) 
(24,95,9.717572659959924) 
(25,110,32.39190886653308) 
(25,80,466.4434876780764) 
(25,59,32.39190886653308) 
(25,56,16.19595443326654) 
(25,104,103.03173214352711) 
(25,102,194.35145319919846) 
(21,65,5.988495690140269) 
(21,107,61.05474076324648) 
(21,96,36.12098583635273) 
(21,95,8.587863299799658) 
(10,110,16.19595443326654) 
(10,111,45.34867241314631) 
(10,78,19.435145319919847) 
(10,77,84.218963052986) 
(10,81,42.1094815264973) 
(10,59,3.239190886653308) 
(10,56,17.815549876593195) 
(10,108,3.239190886653308) 
(10,107,3.239190886653308) 
(10,106,3.239190886653308) 
(10,92,3.8870290639839693) 
(55,80,4.858786329979962) 
(55,66,59.925031403086194) 
(55,59,3.2391908866533075) 
(55,56,3.239190886653308) 
(55,60,3.2391908866533075) 
(49,56,9.717572659959925) 
(49,104,3.239190886653308) 
(49,102,3.2391908866533075) 
(49,95,19.435145319919847) 
(46,110,55.06624507310625) 
(46,111,4.858786329979965) 
(46,77,9.71757265995983) 
(46,81,178.15549876593192) 
(46,59,12.95676354661323) 
(46,56,16.19595443326654) 
(46,109,19.435145319919947) 
(46,108,4.858786329979962) 
(46,107,3.2391908866533075) 
(46,106,3.2391908866533075) 
(46,104,4.858786329979962) 
(46,95,16.19595443326654) 
(51,78,21.054740763246507) 
(51,81,25.91352709322646) 
(51,66,4.858786329979962) 
(51,59,12.956763546613232) 
(51,56,19.43514531991984) 
(51,61,6.478381773306615) 
(51,106,4.858786329979974) 
(52,78,4.858786329979962) 
(52,81,16.19595443326654) 
(52,66,4.858786329979962) 
(52,59,11.337168103286578) 
(52,56,16.19595443326654) 
(52,61,4.858786329979962) 
(52,104,3.239190886653308) 
(52,92,17.815549876593195) 
(53,110,3.239190886653308) 
(53,78,3.239190886653308) 
(53,108,19.435145319919847) 
(50,81,9.717572659959924) 
(50,66,3.239190886653308) 
(50,59,3.2391908866533075) 
(50,56,14.576358989939887) 
(50,60,4.858786329979962) 
(50,104,11.337168103286558) 
(50,102,6.478381773306615) 
(50,92,11.337168103286595) 

