Solution value: 2357482
Solution lambda: 0,004447679036909319
Solution's estimated link counts: 
322->330: 1202.327537017623 
326->330: 219.91104671595951 
326->466: 381.36194168037184 
330->322: 350.944093953971 
330->326: 737.0534242834328 
330->484: 9.004447664202024 
336->466: 318.10816633405284 
464->465: 137.4444041974747 
464->468: 0.0 
464->470: 29.348624332466386 
465->464: 43.011998356840294 
466->326: 557.7557149727414 
466->336: 59.68737073805455 
466->468: 0.0 
468->464: 0.0 
468->466: 59.68737073805455 
468->472: 0.0 
470->464: 12.123008950662541 
470->472: 63.031133649414166 
470->476: 257.86384233164796 
472->468: 137.44440419747474 
472->470: 0.0 
472->478: 135.06671496303036 
474->476: 22.822170892659514 
474->620: 411.32809275868806 
476->470: 432.82249503033484 
476->474: 133.62846506572785 
476->478: 22.000930767599364 
478->472: 50.72843399687285 
478->476: 135.06671496303036 
478->480: 16.69218040246102 
480->478: 280.3767584668451 
480->611: 43.78335744442785 
480->612: 285.31442553197985 
482->330: 737.0534242834328 
482->490: 247.62231076555568 
484->482: 529.7217630568782 
484->486: 418.70681638539406 
484->611: 9.004447664202024 
485->484: 422.83459632943266 
485->488: 139.56893879513137 
486->484: 489.3020789430101 
486->485: 284.45231733536417 
486->602: 418.70681638539406 
486->608: 612.3024411657377 
488->485: 426.42427387349244 
488->490: 357.3554509134342 
488->492: 224.19864490904993 
488->598: 139.56893879513137 
490->586: 604.9777616789899 
492->488: 0.0 
492->494: 539.421803653737 
492->594: 0.0 
494->492: 287.4384565532315 
586->588: 282.76711841309975 
586->594: 0.0 
588->482: 558.2757551805255 
588->494: 228.53175443312023 
590->592: 91.55771704840656 
592->590: 220.39897021597355 
592->594: 189.0934009482425 
592->596: 917.2028859914974 
594->492: 41.223883190142374 
594->592: 326.116841587073 
594->599: 0.0 
596->592: 860.1347494882693 
596->597: 51.82120183973695 
596->600: 869.5829026456177 
596->2056: 562.7779790126266 
597->596: 84.1040029126167 
597->599: 51.82120183973695 
598->488: 1.4382498973025213 
598->599: 1.4382498973025213 
598->2058: 139.56893879513137 
599->597: 1.4382498973025213 
599->598: 51.82120183973695 
600->596: 4.314749691907564 
600->603: 57.39992755545446 
600->604: 0.0 
600->2060: 85.54225280991922 
602->486: 225.1111916050506 
602->605: 39.791580492036324 
602->2058: 0.0 
603->597: 85.54225280991923 
603->602: 0.0 
604->600: 1061.8843088627852 
604->603: 137.4444041974747 
604->605: 0.0 
604->606: 763.1524102452311 
604->2062: 219.91104671595954 
605->602: 0.0 
605->604: 0.0 
605->608: 190.42123507177794 
606->604: 982.795045372328 
606->610: 4.314749691907564 
606->616: 183.01742865660367 
606->2064: 9.34862433246639 
608->486: 0.0 
608->605: 0.0 
608->609: 760.8758276250711 
609->610: 638.5007372863495 
609->612: 0.0 
609->2066: 0.12490836322527343 
610->606: 329.0065295492299 
610->608: 0.0 
610->614: 21.63529168378288 
611->480: 36.017790656808096 
611->484: 41.149927592541786 
612->480: 43.78335744442785 
612->609: 0.0 
612->614: 259.50120257743094 
612->2066: 39.66667212881105 
614->610: 1.4382498973025213 
614->612: 472.73350237060635 
614->616: 50.26479106759801 
614->620: 1.4382498973025213 
616->606: 335.3368598042493 
616->614: 1.4382498973025213 
616->618: 1.4382498973025213 
616->2068: 612.6650808012757 
618->616: 417.353809104999 
618->620: 2.8764997946050426 
618->622: 633.3753104289402 
618->2070: 217.54499383815113 
620->474: 195.62344874539252 
620->614: 3.063973934798491 
620->618: 0.0 
622->618: 73.47383121091872 
2058->598: 47.37898218768415 
2058->602: 72.13384360879107 
2060->600: 89.56919743028388 
2062->604: 137.4444041974747 
2064->606: 26.671234960516333 
2066->610: 0.0 
2066->612: 40.7627998921641 
2070->618: 183.152927218839 
