(3,110,32.47502794967673) 
(3,111,9.174990683441091) 
(3,78,100.924897517852) 
(3,80,36.699962733764366) 
(3,66,10.825009316558909) 
(3,64,22.796869636206438) 
(3,61,41.287458075484906) 
(3,108,9.174990683441091) 
(3,107,9.174990683441091) 
(3,106,9.174990683441091) 
(3,103,18.349981366882183) 
(3,102,32.47502794967673) 
(3,95,84.92787881670301) 
(1,109,24.125046521326563) 
(1,96,10.82500931655891) 
(1,95,141.10985881701717) 
(0,110,45.874953417205454) 
(0,78,366.9996273376437) 
(0,80,45.87495341720546) 
(0,66,91.74990683441091) 
(0,57,91.10985875554212) 
(0,108,27.52497205032327) 
(0,107,108.25009316558909) 
(0,106,18.349981366882183) 
(0,104,45.874953417205454) 
(0,103,45.874953417205454) 
(0,102,91.74990683441091) 
(0,95,22.937476708602727) 
(0,92,190.57715212510803) 
(5,110,13.762486025161637) 
(5,78,13.762486025161635) 
(5,80,13.762486025161635) 
(5,59,91.74990683441091) 
(5,57,10.825009316558909) 
(5,64,9.174990683441091) 
(5,60,29.854781004346876) 
(5,95,18.34998136688218) 
(4,111,9.174990683441091) 
(4,57,6.45946752154299) 
(4,64,25.44749218685262) 
(4,61,40.10561948235512) 
(9,66,48.712541924515094) 
(8,77,30.87679846311414) 
(8,66,151.54826942509226) 
(8,57,26.54826804206263) 
(8,60,37.676666742025006) 
(35,56,21.650018633117817) 
(36,110,137.98742080924924) 
(36,77,107.95230949395089) 
(36,80,66.3892095885598) 
(36,66,13.762486025161635) 
(36,61,16.037737572252183) 
(36,108,202.29929295574465) 
(36,102,36.337402176131455) 
(39,110,66.81094045987042) 
(39,80,27.52497205032327) 
(39,59,44.53941363083611) 
(39,56,22.937476708602727) 
(39,61,9.174990683441091) 
(39,107,24.88715994559981) 
(39,105,3.3240783060818018) 
(39,102,45.874953417205454) 
(39,92,32.37512148251047) 
(39,91,24.125046521326563) 
(40,107,22.837588507309636) 
(40,95,36.69996273376436) 
(22,77,146.17089072137335) 
(22,80,6.503913630889584) 
(22,66,41.287458075484906) 
(22,59,55.84904971099127) 
(22,57,43.300037266235634) 
(22,56,433.00037266235637) 
(22,61,36.699962733764366) 
(22,106,9.174990683441091) 
(22,105,21.650018633117817) 
(22,104,27.52497205032327) 
(22,102,64.22493478408764) 
(24,110,91.74990683441092) 
(24,77,34.650391295474186) 
(24,59,68.81243012580818) 
(24,57,14.172154307743341) 
(24,56,54.125046582794546) 
(24,104,324.7502794967673) 
(24,103,44.90933702825035) 
(24,102,366.99962733764363) 
(24,95,27.52497205032327) 
(24,92,220.10458788877267) 
(21,80,35.74916083355043) 
(21,105,141.71291458687148) 
(21,103,111.05069010150702) 
(10,110,45.874953417205454) 
(10,111,87.16241149269037) 
(10,78,55.04994410064654) 
(10,77,158.91231832710122) 
(10,80,119.27487888473418) 
(10,59,9.174990683441091) 
(10,56,50.462448758926) 
(10,64,1.638184754786252) 
(10,108,9.174990683441091) 
(10,107,9.174990683441091) 
(10,106,9.174990683441091) 
(10,103,18.349981366882183) 
(10,102,16.962635090104158) 
(10,92,11.009988820129308) 
(55,77,5.712169262158724) 
(55,80,13.762486025161635) 
(55,66,173.20014906494254) 
(55,59,9.174990683441091) 
(55,60,9.174990683441091) 
(49,80,46.14774125095461) 
(49,57,38.33986588947285) 
(49,56,16.237513974838365) 
(49,104,9.174990683441091) 
(49,102,9.174990683441091) 
(47,80,54.125046582794546) 
(47,66,27.52497205032327) 
(47,59,27.52497205032327) 
(47,56,64.22493478408764) 
(47,102,45.874953417205454) 
(47,92,27.52497205032327) 
(46,110,102.20126606852394) 
(46,111,37.80982247280128) 
(46,77,34.41362264534859) 
(46,80,504.62448758926) 
(46,59,27.52497205032327) 
(46,56,45.874953417205454) 
(46,108,13.762486025161635) 
(46,107,9.174990683441074) 
(46,106,9.174990683441091) 
(46,104,13.762486025161635) 
(46,103,27.52497205032327) 
(46,96,59.537551241074) 
(46,95,45.874953417205454) 
(51,78,44.45061489288801) 
(51,80,55.04994410064654) 
(51,66,13.762486025161635) 
(51,59,9.174990683441091) 
(51,57,90.86200156409835) 
(51,61,18.349981366882183) 
(51,106,32.11246739204382) 
(51,104,55.575288813326196) 
(52,78,13.762486025161637) 
(52,80,45.874953417205454) 
(52,66,13.762486025161635) 
(52,59,9.174990683441091) 
(52,56,18.34998136688218) 
(52,65,24.125046521326563) 
(52,61,13.762486025161635) 
(52,104,9.174990683441091) 
(52,95,6.372513552897821) 
(52,92,70.42733744362764) 
(53,110,9.174990683441091) 
(53,78,9.174990683441091) 
(53,64,29.48574481213334) 
(53,95,25.564199288513198) 
(50,80,27.976332267924036) 
(50,66,9.174990683441091) 
(50,59,9.174990683441091) 
(50,56,41.287458075484906) 
(50,60,13.762486025161635) 
(50,104,87.59895654540216) 
(50,102,27.52497205032327) 

