1 (11,17,63)
1 (11,48,78)
1 (11,9084,26)
1 (13,14,64)
1 (13,17,1)
1 (13,40,8)
1 (13,54,9)
1 (14,11,9)
1 (14,13,32)
1 (14,17,10)
1 (14,28,14)
1 (14,39,20)
1 (14,53,14)
1 (14,9077,98)
1 (14,9084,14)
1 (17,13,24)
1 (17,19,260)
1 (17,40,24)
1 (18,39,39)
1 (18,53,0)
1 (19,28,59)
1 (19,36,11)
1 (19,39,65)
1 (19,46,35)
1 (19,49,9)
1 (19,50,9)
1 (19,51,9)
1 (19,52,22)
1 (19,53,49)
1 (19,54,93)
1 (19,9076,54)
1 (19,9077,9)
1 (19,9083,19)
1 (19,9084,128)
1 (28,11,40)
1 (28,13,2)
1 (28,14,39)
1 (28,17,8)
1 (28,18,22)
1 (28,19,44)
1 (28,46,69)
1 (28,47,29)
1 (28,48,19)
1 (28,49,9)
1 (28,9076,394)
1 (28,9077,55)
1 (28,9078,47)
1 (28,9083,39)
1 (28,9084,81)
1 (36,19,14)
1 (36,39,144)
1 (36,51,159)
1 (36,9045,22)
1 (39,11,186)
1 (39,14,9)
1 (39,17,17)
1 (39,46,49)
1 (39,48,3)
1 (39,50,48)
1 (39,51,64)
1 (39,9076,24)
1 (39,9078,267)
1 (39,9084,29)
1 (40,11,8)
1 (40,36,18)
1 (40,53,34)
1 (46,39,49)
1 (46,40,19)
1 (46,47,14)
1 (46,49,9)
1 (46,50,9)
1 (46,51,14)
1 (46,53,154)
1 (46,54,39)
1 (46,9076,49)
1 (46,9077,29)
1 (46,9083,29)
1 (46,9084,543)
1 (48,46,9)
1 (48,47,9)
1 (48,9076,14)
1 (48,9084,89)
1 (49,13,14)
1 (49,19,9)
1 (49,46,29)
1 (49,48,5)
1 (49,53,74)
1 (49,9076,44)
1 (49,9077,9)
1 (49,9084,29)
1 (50,11,173)
1 (50,14,19)
1 (50,19,14)
1 (50,47,26)
1 (50,48,3)
1 (50,49,23)
1 (50,9077,9)
1 (50,9084,60)
1 (51,14,14)
1 (51,19,14)
1 (51,28,14)
1 (51,36,66)
1 (51,39,76)
1 (51,47,9)
1 (51,9076,19)
1 (51,9077,9)
1 (51,9084,49)
1 (52,28,9)
1 (52,39,50)
1 (52,53,9)
1 (54,13,9)
1 (54,19,157)
1 (54,39,28)
1 (54,9077,9)
1 (54,9078,38)
1 (54,9084,14)
1 (9045,9078,22)
1 (9076,11,148)
1 (9076,19,98)
1 (9076,28,394)
1 (9076,39,25)
1 (9076,46,98)
1 (9076,47,49)
1 (9076,48,20)
1 (9076,49,19)
1 (9076,50,98)
1 (9076,51,29)
1 (9076,53,50)
1 (9076,9077,0)
1 (9076,9083,49)
1 (9076,9084,50)
1 (9077,14,44)
1 (9077,19,9)
1 (9077,28,108)
1 (9077,39,121)
1 (9077,46,29)
1 (9077,49,9)
1 (9077,50,9)
1 (9077,51,9)
1 (9077,53,29)
1 (9077,54,9)
1 (9077,9083,19)
1 (9077,9084,39)
1 (9078,36,29)
1 (9078,47,101)
1 (9078,48,52)
1 (9078,50,47)
1 (9078,9083,28)
1 (9078,9084,1)
1 (9083,19,29)
1 (9083,36,29)
1 (9083,46,49)
1 (9083,9076,69)
1 (9083,9077,29)
1 (9083,9084,50)
1 (9084,36,225)
1 (9084,39,29)
1 (9084,46,405)
1 (9084,47,303)
1 (9084,53,101)
1 (9084,9076,49)
1 (9084,9077,74)
