(322,474,28.78728362966446)
(322,586,172.72370177798675)
(322,592,14.39364181483223)
(322,605,8.333988007368994)
(322,610,7.196820907416115)
(322,622,28.78728362966446)
(322,2056,56.43740015937603)
(322,2060,5.757456725932892)
(322,2062,28.78728362966446)
(322,2064,8.636185088899337)
(322,2068,14.393641814832236)
(326,611,2.878728362966446)
(326,2058,23.02982690373157)
(336,465,12.954277633349008)
(336,474,17.121271637033555)
(336,586,31.666011992630906)
(336,592,11.514913451865784)
(336,610,57.57456725932906)
(336,622,8.636185088899339)
(336,2060,2.878728362966446)
(336,2062,2.878728362966446)
(336,2064,2.878728362966446)
(336,2068,21.74156126301331)
(336,2070,2.878728362966446)
(464,465,26.19642810299466)
(464,472,4.318092544449673)
(464,2070,2.878728362966446)
(465,326,2.878728362966446)
(465,336,48.93838217042958)
(465,470,2.878728362966446)
(465,586,4.3180925444496685)
(465,592,4.318092544449669)
(465,610,5.757456725932892)
(465,2068,4.3180925444496685)
(470,464,14.393641814832232)
(470,472,20.15109854076512)
(470,474,61.89265980377862)
(470,494,7.984890145923492)
(472,470,10.075549270382563)
(472,474,26.059653807463135)
(472,2068,7.045722366650978)
(474,322,15.833005996315453)
(474,336,2.878728362966446)
(474,494,69.7407756541705)
(474,586,22.378531960755765)
(474,592,37.42346871856338)
(474,606,3.454474035559735)
(474,2060,2.878728362966446)
(474,2062,2.878728362966446)
(474,2064,2.878728362966446)
(474,2068,14.39364181483223)
(474,2070,40.30219708153024)
(494,610,65.07358524827528)
(494,611,27.650116529711482)
(494,2062,6.592426744355635)
(586,322,129.54277633349005)
(586,326,11.514913451865784)
(586,336,21.590462722248343)
(586,465,11.514913451865784)
(586,474,12.954277633349008)
(586,588,34.54474035559736)
(586,622,38.86283290004702)
(586,2056,8.636185088899337)
(586,2058,5.757456725932892)
(586,2060,2.878728362966446)
(588,322,172.72370177798675)
(588,326,5.757456725932892)
(590,592,341.43150809305416)
(590,610,8.636185088899337)
(590,2056,41.439364181483135)
(592,322,14.39364181483223)
(592,336,28.78728362966446)
(592,494,60.453295622295364)
(592,590,414.5368842671683)
(592,622,172.72370177798675)
(592,2056,57.57456725932892)
(592,2068,28.78728362966446)
(605,2058,13.78531960755707)
(606,474,4.318092544449669)
(606,610,46.059653807463135)
(606,2060,5.757456725932879)
(606,2064,76.28630161861084)
(606,2068,28.787283629664596)
(610,322,7.196820907416115)
(610,465,2.878728362966446)
(610,590,8.636185088899337)
(610,605,25.908555266698116)
(610,606,82.11930761492627)
(610,622,14.39364181483223)
(611,470,11.514913451865784)
(611,592,12.652080551818663)
(611,2058,17.880692385073836)
(611,2062,52.119307614926264)
(622,322,14.39364181483223)
(622,336,11.514913451865784)
(622,586,22.241757665224142)
(622,592,158.33005996315453)
(622,610,14.39364181483223)
(622,2056,4.318092544449669)
(622,2060,2.878728362966446)
(622,2062,2.878728362966446)
(622,2064,4.318092544449669)
(622,2066,3.666797601473874)
(622,2068,48.9383821704296)
(622,2070,4.318092544449673)
(2058,322,4.3180925444496685)
(2058,472,9.773352188852318)
(2058,610,9.726451408937015)
(2058,622,2.878728362966446)
(2058,2056,2.878728362966446)
(2058,2066,2.090659124459018)
(2060,322,12.954277633349008)
(2060,336,2.878728362966446)
(2060,464,4.3180925444496685)
(2060,474,2.878728362966446)
(2060,586,4.318092544449671)
(2060,592,8.636185088899339)
(2060,606,10.075549270382577)
(2060,622,5.757456725932892)
(2060,2056,5.7574567259328715)
(2062,322,17.272370177798674)
(2062,336,11.514913451865784)
(2062,465,5.757456725932892)
(2062,474,4.3180925444496685)
(2062,586,18.7117343592819)
(2062,592,23.029826903731568)
(2062,2060,4.318092544449682)
(2064,322,14.39364181483223)
(2064,336,10.075549270382561)
(2064,465,4.3180925444496685)
(2064,474,4.3180925444496685)
(2064,586,4.318092544449669)
(2064,592,14.39364181483223)
(2064,606,15.833005996315453)
(2064,2056,2.878728362966446)
(2066,586,2.878728362966446)
(2066,610,17.272370177798678)
(2066,2068,2.878728362966446)
(2070,322,2.878728362966446)
(2070,336,2.878728362966446)
(2070,464,2.878728362966446)
(2070,474,53.256474714879246)
(2070,590,4.3180925444496685)
