(3,110,55.53343504589236) 
(3,111,1.4888549847025452) 
(3,78,16.377404831728) 
(3,81,5.955419938810181) 
(3,66,1.4888549847025452) 
(3,64,12.303610943911472) 
(3,61,6.699847431161459) 
(3,108,1.4888549847025452) 
(3,107,1.4888549847025452) 
(3,106,1.4888549847025465) 
(3,102,55.53343504589236) 
(3,95,55.96816726489866) 
(3,92,70.44061473457715) 
(1,105,67.60440962054878) 
(0,110,7.444274923512722) 
(0,78,429.77708842063333) 
(0,77,20.03997340331229) 
(0,81,92.55572507648726) 
(0,66,14.888549847025464) 
(0,109,1.0863439094093241) 
(0,108,4.466564954107632) 
(0,107,185.11145015297453) 
(0,106,2.977709969405093) 
(0,105,187.02446295412085) 
(0,104,92.55572507648726) 
(0,102,14.888549847025464) 
(0,96,1.4888549847025452) 
(0,95,3.722137461756361) 
(0,92,119.03382259827002) 
(5,110,2.233282477053816) 
(5,78,2.233282477053816) 
(5,81,2.233282477053816) 
(5,59,25.31053473994325) 
(5,57,1.4888549847025465) 
(5,64,1.4888549847025452) 
(5,60,53.74334037399936) 
(5,95,2.977709969405093) 
(4,111,1.4888549847025452) 
(4,57,6.942219581887116) 
(4,64,72.33802227357108) 
(9,110,66.75069982571087) 
(8,60,17.041762157206875) 
(35,59,37.02229003059491) 
(36,110,183.2674297547802) 
(36,81,409.6147965828559) 
(36,66,2.2332824770538195) 
(36,102,102.93253934489508) 
(39,80,4.466564954107632) 
(39,59,117.57737914535915) 
(39,56,3.722137461756361) 
(39,61,1.4888549847025452) 
(39,102,7.444274923512722) 
(39,92,54.41001599315771) 
(39,91,38.91365609059068) 
(40,81,54.579183963874) 
(40,64,5.955419938810181) 
(40,107,36.0754401166533) 
(22,79,443.89635146217256) 
(22,66,6.699847431161459) 
(22,59,11.166412385269098) 
(22,57,5.955419938810186) 
(22,56,279.77709264816497) 
(22,61,5.955419938810181) 
(22,106,1.4888549847025452) 
(22,105,2.9777099694050904) 
(22,104,4.466564954107632) 
(22,102,20.099542293484376) 
(23,57,2.977709969405093) 
(23,56,429.77708842063333) 
(24,81,1226.9205717133948) 
(24,95,4.466564954107632) 
(25,110,14.888549847025445) 
(25,77,90.84396189443598) 
(25,80,200.7704147256805) 
(25,59,14.888549847025445) 
(25,56,7.444274923512732) 
(25,104,345.45118462777265) 
(25,102,429.7770884206334) 
(25,92,226.05496867928014) 
(21,65,38.91365609059068) 
(21,61,181.9541313870733) 
(21,107,29.00244937621862) 
(21,96,91.26696142292452) 
(10,110,7.444274923512732) 
(10,111,14.144122354674181) 
(10,78,8.933129908215264) 
(10,77,297.40260011062776) 
(10,81,19.355114801133084) 
(10,59,1.4888549847025452) 
(10,56,8.188702415864) 
(10,64,55.43310030332461) 
(10,108,1.4888549847025465) 
(10,107,1.4888549847025452) 
(10,106,1.4888549847025452) 
(10,102,25.459900630182908) 
(10,92,1.7866259816430556) 
(55,110,7.092619906629736) 
(55,80,2.233282477053816) 
(55,66,84.31749780445713) 
(55,59,1.4888549847025452) 
(55,56,1.4888549847025465) 
(55,60,1.4888549847025452) 
(55,102,1.385802646903926) 
(49,56,27.76671752294618) 
(49,61,6.437997798950562) 
(49,104,1.4888549847025452) 
(49,102,1.4888549847025452) 
(46,110,80.05219099497435) 
(46,111,162.90084719579104) 
(46,78,87.69637637349382) 
(46,77,122.96633839701533) 
(46,81,393.96233105224724) 
(46,66,16.533473750703447) 
(46,59,5.955419938810181) 
(46,56,28.71458376346345) 
(46,108,2.2332824770538195) 
(46,107,1.4888549847025452) 
(46,106,1.4888549847025452) 
(46,104,2.2332824770538195) 
(46,96,5.3430825964129625) 
(46,95,7.444274923512732) 
(51,81,36.01601487888083) 
(51,66,2.233282477053816) 
(51,59,5.955419938810186) 
(51,56,66.23673380624082) 
(51,61,2.9777099694050904) 
(51,106,14.194975876565472) 
(52,78,2.233282477053816) 
(52,81,7.444274923512722) 
(52,66,2.233282477053816) 
(52,59,5.210992446458903) 
(52,56,7.444274923512722) 
(52,61,2.233282477053816) 
(52,104,1.4888549847025465) 
(52,92,77.69637750083555) 
(53,110,1.4888549847025452) 
(53,78,1.4888549847025452) 
(53,108,8.247117104687163) 
(53,92,8.251472534144227) 
(50,81,4.466564954107639) 
(50,66,1.4888549847025465) 
(50,59,1.4888549847025452) 
(50,56,6.699847431161459) 
(50,60,2.233282477053816) 
(50,102,2.9777099694050904) 
(50,95,150.8417943257906) 
(50,92,27.690996620380474) 

