1 (11,30,19)
1 (11,47,33)
1 (11,50,107)
1 (11,52,18)
1 (13,14,64)
1 (13,54,4)
1 (14,11,4)
1 (14,17,4)
1 (14,19,48)
1 (14,28,7)
1 (14,30,7)
1 (14,39,9)
1 (14,46,56)
1 (14,53,7)
1 (14,9077,84)
1 (17,13,48)
1 (17,19,449)
1 (17,30,130)
1 (17,39,21)
1 (17,48,59)
1 (17,54,3)
1 (18,28,34)
1 (18,46,6)
1 (19,17,344)
1 (19,28,29)
1 (19,30,64)
1 (19,36,5)
1 (19,49,4)
1 (19,50,4)
1 (19,51,4)
1 (19,53,24)
1 (19,54,47)
1 (19,9076,27)
1 (19,9077,4)
1 (28,11,60)
1 (28,14,19)
1 (28,19,22)
1 (28,29,406)
1 (28,46,66)
1 (28,47,14)
1 (28,48,9)
1 (28,49,4)
1 (28,9076,222)
1 (28,9077,37)
1 (28,9078,11)
1 (29,11,30)
1 (29,28,49)
1 (29,9076,297)
1 (30,28,78)
1 (30,36,433)
1 (30,46,297)
1 (30,47,300)
1 (30,53,49)
1 (30,9076,24)
1 (30,9077,49)
1 (30,9084,1230)
1 (36,19,7)
1 (36,30,343)
1 (36,39,250)
1 (36,46,197)
1 (36,49,63)
1 (36,51,231)
1 (36,54,70)
1 (36,9078,137)
1 (39,11,202)
1 (39,14,4)
1 (39,36,3)
1 (39,46,24)
1 (39,9045,18)
1 (39,9076,12)
1 (39,9078,121)
1 (39,9084,14)
1 (40,11,23)
1 (40,17,15)
1 (40,51,20)
1 (46,30,272)
1 (46,36,139)
1 (46,39,24)
1 (46,47,7)
1 (46,49,15)
1 (46,50,4)
1 (46,51,22)
1 (46,53,320)
1 (46,9076,24)
1 (46,9077,19)
1 (48,46,4)
1 (48,47,4)
1 (48,54,28)
1 (48,9076,7)
1 (48,9084,74)
1 (49,13,7)
1 (49,18,18)
1 (49,19,4)
1 (49,30,45)
1 (49,46,9)
1 (49,47,46)
1 (49,9076,22)
1 (49,9077,4)
1 (49,9084,21)
1 (50,11,215)
1 (50,14,9)
1 (50,19,7)
1 (50,30,39)
1 (50,9076,29)
1 (50,9077,19)
1 (51,14,7)
1 (51,19,7)
1 (51,28,7)
1 (51,30,24)
1 (51,40,30)
1 (51,47,4)
1 (51,53,142)
1 (51,9076,24)
1 (51,9077,17)
1 (52,13,18)
1 (52,28,4)
1 (52,48,33)
1 (52,53,15)
1 (54,13,4)
1 (54,17,73)
1 (54,19,79)
1 (54,28,4)
1 (54,36,63)
1 (54,47,8)
1 (54,9076,4)
1 (54,9077,4)
1 (54,9084,7)
1 (9045,9077,18)
1 (9076,19,49)
1 (9076,28,297)
1 (9076,30,75)
1 (9076,36,299)
1 (9076,39,37)
1 (9076,40,9)
1 (9076,46,49)
1 (9076,47,24)
1 (9076,48,76)
1 (9076,49,9)
1 (9076,50,49)
1 (9076,51,14)
1 (9076,53,75)
1 (9076,9077,66)
1 (9076,9078,199)
1 (9077,11,23)
1 (9077,14,22)
1 (9077,19,4)
1 (9077,28,54)
1 (9077,30,19)
1 (9077,39,255)
1 (9077,46,14)
1 (9077,49,4)
1 (9077,50,15)
1 (9077,51,4)
1 (9077,53,14)
1 (9077,54,4)
1 (9078,14,72)
1 (9078,30,157)
1 (9078,39,27)
1 (9078,40,14)
1 (9084,30,1087)
1 (9084,39,14)
1 (9084,47,121)
1 (9084,48,11)
