216 (19000,190000) 4.600106473439241
217 (19100,191000) 25.583110347805118
218 (19200,192000) 18.634532567385776
219 (19300,193000) 39.50657696114514
220 (19400,194000) 16.990930433049858
221 (19500,195000) 28.8
222 (19600,196000) 20.870699659630496
223 (19700,197000) 10.072725450596373
224 (19800,198000) 29.291957596886636
225 (19900,199000) 14.352011249938187
226 (20000,200000) 9.818181818181818
227 (20100,201000) 27.07218836940463
228 (20200,202000) 20.645214087901234
229 (20300,203000) 16.8597996288461
230 (20400,204000) 15.675400064191285
231 (20500,205000) 8.472288492489895
232 (20600,206000) 28.151194344976282
233 (20700,207000) 20.58363807415348
234 (20800,208000) 40.87236760171172
235 (20900,209000) 23.584512931107955
236 (21000,210000) 57.099792169711215
237 (21100,211000) 3.9456734297932683
238 (21200,212000) 6.333921079482809
239 (21300,213000) 6.860311809650262
240 (21400,214000) 14.059565346351677
241 (21500,215000) 14.49249140179753
242 (21600,216000) 27.397965952171354
243 (21700,217000) 12.173161931358269
244 (21800,218000) 21.447337090585766
245 (21900,219000) 65.9453452716897
246 (22000,220000) 18.365034331608022
247 (22100,221000) 13.01058155459048
248 (22200,222000) 20.923994473924207
249 (22300,223000) 18.37246735151671
250 (22400,224000) 12.0
251 (22500,225000) 15.726696765124736
252 (22600,226000) 10.418691716067224
253 (22700,227000) 13.933882687926738
254 (22800,228000) 12.784113136707408
255 (22900,229000) 41.63388095236218
256 (23000,230000) 11.697008393594839
257 (23100,231000) 28.248986936081227
258 (23200,232000) 19.476575714948602
259 (23300,233000) 57.95247369922012
260 (23400,234000) 29.14878030004861
261 (23500,235000) 28.69198362184098
262 (23600,236000) 25.334133211400697
263 (23700,237000) 25.045389321600002
264 (23800,238000) 26.540393979742795
265 (23900,239000) 24.619699620095584
266 (24000,240000) 15.533231261538463
267 (24100,241000) 22.359864142765403
268 (24200,242000) 30.189247935619573
269 (24300,243000) 29.501564152978457
270 (24400,244000) 44.68114052740589
271 (24500,245000) 45.71692432922407
272 (24600,246000) 37.05164428230465
273 (24700,247000) 21.189272688573748
274 (24800,248000) 12.973610936625214
275 (24900,249000) 42.96510567418265
276 (112000,58) 30.307694806000246
277 (112000,11600) 30.307694806000246
278 (112000,11700) 30.307694806000246
279 (113000,58) 51.0023171747958
280 (113000,11700) 51.0023171747958
281 (114000,62) 24.630304317534318
282 (114000,12400) 24.630304317534318
283 (114000,12500) 24.630304317534318
284 (115000,56) 39.63904663067531
285 (116000,57) 52.786805732387535
286 (116000,11400) 52.786805732387535
287 (117000,71) 56.124313
288 (117000,14900) 56.124313
289 (117000,15000) 56.124313
290 (118000,62) 16.687137922432836
291 (118000,12300) 16.687137922432836
292 (118000,12500) 16.687137922432836
293 (119000,61) 32.3609913079321
294 (120000,63) 60.44982697407779
295 (120000,12700) 60.44982697407779
296 (120000,12800) 60.44982697407779
297 (121000,64) 12.885897985026041
298 (121000,13100) 12.885897985026041
299 (122000,60) 32.38263095439429
300 (122000,12000) 32.38263095439429
301 (122000,12100) 32.38263095439429
302 (123000,57) 22.88375403357691
303 (123000,11300) 22.88375403357691
304 (124000,59) 28.542244008550853
305 (125000,63) 42.03188051851583
306 (125000,12600) 42.03188051851583
307 (125000,12800) 42.03188051851583
308 (126000,60) 37.16962390419047
309 (126000,11900) 37.16962390419047
310 (126000,12100) 37.16962390419047
311 (127000,62) 22.62078354480615
312 (127000,12300) 22.62078354480615
313 (127000,12400) 22.62078354480615
314 (128000,65) 9.534035226203166
315 (128000,13300) 9.534035226203166
316 (128000,13400) 9.534035226203166
317 (129000,60) 13.207207837219936
318 (129000,12000) 13.207207837219936
319 (130000,65) 37.008548295945076
320 (130000,13200) 37.008548295945076
321 (130000,13400) 37.008548295945076
322 (131000,67) 26.051022062954033
323 (131000,13800) 26.051022062954033
324 (131000,13900) 26.051022062954033
325 (132000,63) 17.95068947271449
326 (132000,12600) 17.95068947271449
327 (132000,12700) 17.95068947271449
328 (133000,64) 35.96731012667101
329 (133000,12900) 35.96731012667101
330 (133000,13100) 35.96731012667101
331 (134000,68) 53.788821825730786
332 (134000,14100) 53.788821825730786
333 (134000,14200) 53.788821825730786
334 (135000,67) 7.926885243723433
335 (135000,13700) 7.926885243723433
336 (135000,13900) 7.926885243723433
337 (136000,101) 11.3357772
338 (136000,23800) 11.3357772
339 (136000,23900) 11.3357772
340 (137000,64) 25.478961769913123
341 (137000,12900) 25.478961769913123
342 (137000,13000) 25.478961769913123
343 (138000,66) 18.976927886350385
344 (138000,13600) 18.976927886350385
345 (139000,68) 44.410286177794575
346 (139000,14000) 44.410286177794575
347 (139000,14200) 44.410286177794575
348 (140000,65) 29.57588653010762
349 (140000,13200) 29.57588653010762
350 (140000,13300) 29.57588653010762
351 (141000,67) 24.87780348114895
352 (141000,13700) 24.87780348114895
353 (141000,13800) 24.87780348114895
354 (142000,69) 7.6359060865395865
355 (142000,14400) 7.6359060865395865
356 (142000,14500) 7.6359060865395865
357 (143000,68) 15.694444910667126
358 (143000,14000) 15.694444910667126
359 (144000,96) 64.91693656058989
360 (144000,22000) 64.91693656058989
361 (145000,97) 14.59051281801278
362 (145000,22200) 14.59051281801278
363 (145000,22300) 14.59051281801278
364 (145000,22400) 14.59051281801278
365 (146000,58) 25.070976267100296
366 (146000,11500) 25.070976267100296
367 (146000,11600) 25.070976267100296
368 (147000,75) 22.715072388883808
369 (147000,16100) 22.715072388883808
370 (148000,70) 12.312454464634248
371 (148000,14600) 12.312454464634248
372 (148000,14700) 12.312454464634248
373 (149000,73) 11.62001644281996
374 (149000,15400) 11.62001644281996
375 (149000,15500) 11.62001644281996
376 (149000,15600) 11.62001644281996
377 (150000,96) 18.111218358857144
378 (150000,21900) 18.111218358857144
379 (151000,71) 5.371559988059888
380 (151000,14800) 5.371559988059888
381 (151000,14900) 5.371559988059888
